"filename", "language", "Groovy", "Java", "comment", "blank", "total"
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\geometry\SphereObbSweepHit.java", "Java", 0, 34, 7, 6, 47
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\collision\geometry\SphereSweepResult.java", "Java", 0, 32, 6, 8, 46
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\field\HeightGravityField.java", "Java", 0, 39, 16, 5, 60
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\field\InfiniteInfluenceVolume.java", "Java", 0, 19, 4, 8, 31
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\field\SphereInfluenceVolume.java", "Java", 0, 42, 1, 8, 51
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\field\SphericalGravityMath.java", "Java", 0, 59, 3, 10, 72
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\field\SphericalMassGravityField.java", "Java", 0, 111, 37, 12, 160
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\field\ZeroGravityField.java", "Java", 0, 15, 11, 6, 32
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\kinematic\KinematicMoveRequest.java", "Java", 0, 26, 20, 10, 56
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\kinematic\KinematicStepContext.java", "Java", 0, 31, 15, 4, 50
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\kinematic\MovementEvidence.java", "Java", 0, 181, 26, 32, 239
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\kinematic\OwnedMotion.java", "Java", 0, 130, 12, 27, 169
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\kinematic\SweepTimeWindow.java", "Java", 0, 123, 26, 13, 162
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\kinematic\geometry\CharacterCapsule.java", "Java", 0, 172, 12, 21, 205
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\kinematic\geometry\CollisionBody.java", "Java", 0, 50, 20, 9, 79
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\kinematic\geometry\OrientedBox.java", "Java", 0, 155, 51, 28, 234
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\model\CommittedGravityApplication.java", "Java", 0, 26, 0, 7, 33
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\model\GravityAccelerationMode.java", "Java", 0, 6, 1, 2, 9
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\model\GravityApplicationPlan.java", "Java", 0, 49, 8, 16, 73
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\model\GravityAuthorityMode.java", "Java", 0, 21, 7, 6, 34
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\model\GravityEntityCapabilities.java", "Java", 0, 17, 13, 6, 36
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\model\GravityOperationType.java", "Java", 0, 9, 12, 3, 24
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\model\GravitySuppressionReason.java", "Java", 0, 21, 3, 5, 29
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\CharacterAttitudeContract.java", "Java", 0, 16, 39, 4, 59
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\CharacterControlBasis.java", "Java", 0, 2, 0, 2, 4
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\CharacterControlMode.java", "Java", 0, 66, 29, 19, 114
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\CharacterControlPlan.java", "Java", 0, 17, 1, 4, 22
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\CharacterControlStep.java", "Java", 0, 26, 3, 2, 31
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\CharacterGroundFacts.java", "Java", 0, 26, 5, 6, 37
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\CharacterLocomotionControlPolicyResolver.java", "Java", 0, 54, 17, 9, 80
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\CharacterLocomotionTechnique.java", "Java", 0, 2, 0, 2, 4
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\CharacterMovementBasis.java", "Java", 0, 31, 1, 5, 37
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\CharacterPresentationIntent.java", "Java", 0, 2, 0, 2, 4
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\ClosestSpaceEscapePolicy.java", "Java", 0, 47, 24, 12, 83
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\GravityPhysics.java", "Java", 0, 93, 29, 15, 137
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\SneakEdgePreventionService.java", "Java", 0, 98, 49, 16, 163
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\movement\TravelCapturePlan.java", "Java", 0, 132, 40, 25, 197
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\gravity\policy\GravityApplicationPlanner.java", "Java", 0, 82, 34, 15, 131
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\Quatd.java", "Java", 0, 255, 44, 38, 337
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\Aabb3d.java", "Java", 0, 132, 8, 18, 158
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\ActiveAxes.java", "Java", 0, 35, 1, 11, 47
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\BodyOrientation3d.java", "Java", 0, 69, 7, 9, 85
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\GeometryTolerance.java", "Java", 0, 12, 9, 10, 31
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\MutableAabb3d.java", "Java", 0, 44, 1, 5, 50
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\Obb3d.java", "Java", 0, 129, 2, 17, 148
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\ObbMath.java", "Java", 0, 20, 1, 4, 25
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\ObbOverlapResult.java", "Java", 0, 68, 1, 12, 81
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\ObbSat.java", "Java", 0, 131, 7, 13, 151
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\ObbScratch.java", "Java", 0, 34, 1, 7, 42
"d:\javaProjects\GravityEngine\common\src\main\java\cc\sighs\gravityengine\math\geometry\ObbSweep.java", "Java", 0, 237, 12, 29, 278
